Academic_Year,Term,Course_Number,Course_Title,Primary_Instructor,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA
2013-14,20142 (Spring 2014),SEFS 561 A,PUBLIC PRES URBHORT,"REICHARD, SARAH E",13,13,,,,,,,,,,,,,4.0
2013-14,20142 (Spring 2014),SLAV 351 A,HIST SLAVIC LANGS,"DZIWIREK, KATARZYNA A",15,3,4,1,1,2,3,1,,,,,,,3.1
2013-14,20142 (Spring 2014),SLAV 470 A,SLAVIC LINGUISTICS,"BELIC, BOJAN",14,7,2,2,2,,1,,,,,,,,3.5
2013-14,20142 (Spring 2014),SMEA 502 A,APPLIED MAR AFFAIRS,"JENKINS, LEKELIA (KIKI)",16,8,7,1,,,,,,,,,,,3.8
2013-14,20142 (Spring 2014),SMEA 519 A,MARINE POLCY ANALYS,"DOLSAK, NIVES",15,15,,,,,,,,,,,,,4.0
2013-14,20142 (Spring 2014),SOC 201 A,INTR TPCS SOCIOLOGY,"BURSTEIN, PAUL",174,15,41,47,24,28,2,4,2,1,1,1,3,5,3.1
2013-14,20142 (Spring 2014),SOC 201 B,INTR TPCS SOCIOLOGY,"WEIS, JOSEPH G",151,45,36,32,14,11,3,2,2,,,1,,5,3.4
2013-14,20142 (Spring 2014),SOC 221 A,STAT FOR SOC SCI,"MORITA, JUNE G",33,,6,11,5,5,,2,2,,,,2,,2.8
2013-14,20142 (Spring 2014),SOC 222 A,SOCIOLOGY OF SPORT,"WEIS, JOSEPH G",331,5,82,110,57,41,17,5,2,,2,1,1,8,3.1
2013-14,20142 (Spring 2014),SOC 260 A,AF-AM FAMILIES,"PITTMAN, LASHAWNDA L.",19,4,5,4,4,1,,1,,,,,,,3.3
2013-14,20142 (Spring 2014),SOC 300 A,FOUND SOC INQUIRY,"PETTIT, ELIZABETH M.",105,46,20,10,10,1,4,1,4,,,,7,2,3.3
2013-14,20142 (Spring 2014),SOC 316 A,SOCIOLOGICAL THEORY,"PFAFF, STEVEN J.",71,5,19,3,4,11,6,11,5,1,2,,4,,2.6
2013-14,20142 (Spring 2014),SOC 352 B,THE FAMILY,"TUOMINEN, ANNE",23,1,5,2,5,1,,,1,1,,,5,2,2.3
2013-14,20142 (Spring 2014),SOC 355 A,SOC CHANGE LAT AMER,"WARREN, JONATHAN W.",32,5,4,5,3,8,3,1,1,2,,,,,2.9
2013-14,20142 (Spring 2014),SOC 362 A,AMER RACE/ETHN RELS,"HARRIS, ALEXES",192,25,32,25,26,23,14,15,8,5,6,,13,,2.7
2013-14,20142 (Spring 2014),SOC 371 D,CRIMINOLOGY,"MATSUEDA, ROSS L.",83,14,18,8,13,12,2,3,4,2,2,3,1,1,2.9
2013-14,20142 (Spring 2014),SOC 376 A,DRUGS & SOCIETY,"WENDER, JONATHAN M",59,1,13,14,15,5,1,2,2,,2,,2,2,2.9
2013-14,20142 (Spring 2014),SOC 377 A,AMER JEWISH CMMUNTY,"BURSTEIN, PAUL",29,1,3,7,5,9,1,2,,,,,,1,2.9
2013-14,20142 (Spring 2014),SOC 401 A,SPECIAL TOPICS,"BRINES, JULIE E",24,10,6,3,4,1,,,,,,,,,3.5
2013-14,20142 (Spring 2014),SOC 401 B,SPECIAL TOPICS,"HARRIS, ALEXES",25,14,7,,,4,,,,,,,,,3.6
2013-14,20142 (Spring 2014),SOC 464 A,CONTEMP SOCIETY PRC,"LAVELY, WILLIAM R",18,2,8,4,,1,1,,,,,,1,1,3.2
2013-14,20142 (Spring 2014),SOC 494 B,PRACTICUM,"TOMCZUK, SARA",14,7,1,2,2,1,1,,,,,,,,3.5
2013-14,20142 (Spring 2014),SOC 506 A,MTHD QUANT TECH SOC,"MCCORMICK, TYLER H.",15,2,10,1,1,1,,,,,,,,,3.5
2013-14,20142 (Spring 2014),SOC W 506 A,SOC WELF RES & EVAL,"GILMAN, AMANDA",25,10,12,2,,1,,,,,,,,,3.7
2013-14,20142 (Spring 2014),SOC W 506 B,SOC WELF RES & EVAL,"BANCROFT, KAREN H",26,26,,,,,,,,,,,,,4.0
2013-14,20142 (Spring 2014),SOC W 506 C,SOC WELF RES & EVAL,"HUDSON, KIMBERLY D.",25,20,4,,1,,,,,,,,,,3.8
2013-14,20142 (Spring 2014),SOC W 506 D,SOC WELF RES & EVAL,"LEE, JUNG EUN",21,2,16,2,,1,,,,,,,,,3.6
2013-14,20142 (Spring 2014),SOC W 510 A,PR 1-INTRO SW PRAC,"DELONG, JAMES B",26,14,10,1,,,,,1,,,,,,3.7
2013-14,20142 (Spring 2014),SOC W 510 B,PR 1-INTRO SW PRAC,"RANCHIGODA, TANYA D",21,12,9,,,,,,,,,,,,3.8
