Academic_Year,Term,Course_Number,Course_Title,Primary_Instructor,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA
2010-11,20104 (Autumn 2010),A A 198 A,SPECIAL TOPICS,"KNOWLEN, CARL",25,22,3,,,,,,,,,,,,3.9
2010-11,20104 (Autumn 2010),A A 210 A,ENGR STATICS,"KNOWLEN, CARL",186,21,30,40,30,31,14,9,4,1,1,,,5,3.0
2010-11,20104 (Autumn 2010),A A 310 A,ORB SPACE FLIGHT,"HERMANSON, JAMES C.",57,7,13,15,10,8,2,2,,,,,,,3.2
2010-11,20104 (Autumn 2010),A A 311 A,ATM FLIGHT MECH,"LUM, CHRISTOPHER, W",57,8,15,11,14,6,2,,1,,,,,,3.2
2010-11,20104 (Autumn 2010),A A 320 A,AEROSPACE INSTR,"MATTICK, ARTHUR THOMAS",57,3,19,19,13,3,,,,,,,,,3.3
2010-11,20104 (Autumn 2010),A A 402 A,FLUID MECHANICS,"FERRANTE, ANTONINO",19,1,7,6,3,1,1,,,,,,,,3.3
2010-11,20104 (Autumn 2010),A A 405 A,AEROSPACE PLASMAS,"SHUMLAK, URI",28,4,4,5,8,1,3,,2,,,,,1,3.1
2010-11,20104 (Autumn 2010),A A 430 A,FINTE ELEMENT ANALYS,"HOLSAPPLE, KEITH A",24,3,8,7,4,2,,,,,,,,,3.4
2010-11,20104 (Autumn 2010),A A 447 A,CONT IN AEROSP,"MESBAHI, MEHRAN",47,10,14,11,6,4,1,1,,,,,,,3.4
2010-11,20104 (Autumn 2010),A A 461 A,ADVANCED PROPULSION,"KUROSAKA, MITSURU",29,2,10,8,5,2,2,,,,,,,,3.3
2010-11,20104 (Autumn 2010),A A 501 A,PHYS GASDYNMCS I,"BREIDENTHAL, ROBERT E",24,10,12,1,,,,,,,,,,1,3.7
2010-11,20104 (Autumn 2010),A A 503 A,CONTINUUM MECH,"DABIRI, DANA",17,1,4,7,4,1,,,,,,,,,3.3
2010-11,20104 (Autumn 2010),A A 516 A,STAB & CON FLT VEH,"LIVNE, ELI",15,6,3,2,4,,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),A A 527 A,SPACE POWER SYSTEM,"MATTICK, ARTHUR THOMAS",14,4,7,3,,,,,,,,,,,3.6
2010-11,20104 (Autumn 2010),A A 530 A,MECHANICS OF SOLIDS,"LIN, KUEN Y",14,2,4,5,1,1,,,,,,,,1,3.4
2010-11,20104 (Autumn 2010),A A 530 B,MECHANICS OF SOLIDS,"LIN, KUEN Y",21,,5,4,2,7,1,1,,,,,,1,3.0
2010-11,20104 (Autumn 2010),A A 547 A,LINEAR SYSTEMS,"CHIZECK, HOWARD JAY",13,3,10,,,,,,,,,,,,3.7
2010-11,20104 (Autumn 2010),A S 101 A,FOUNDATION USAF I,"SANDGREN, RENA MICHELLE",21,6,6,2,3,1,,,,,,1,2,,3.1
2010-11,20104 (Autumn 2010),A S 101 B,FOUNDATION USAF I,"SANDGREN, RENA MICHELLE",15,7,3,,1,,1,1,,1,,,1,,3.1
2010-11,20104 (Autumn 2010),A S 101 C,FOUNDATION USAF I,"SANDGREN, RENA MICHELLE",20,15,2,,2,,,,,,,,,1,3.8
2010-11,20104 (Autumn 2010),A S 211 A,AIR & SPACE PWR I,"CUNNINGHAM, JAMES A.",18,13,1,2,,,,,,,,,1,1,3.6
2010-11,20104 (Autumn 2010),A S 211 C,AIR & SPACE PWR I,"CUNNINGHAM, JAMES A.",13,11,2,,,,,,,,,,,,3.9
2010-11,20104 (Autumn 2010),A S 331 A,AEROSPACE STDYS 300,"BASS, ZACHARY P",22,11,6,4,,1,,,,,,,,,3.7
2010-11,20104 (Autumn 2010),A S 331 B,AEROSPACE STDYS 300,"BASS, ZACHARY P",18,12,4,1,,,,1,,,,,,,3.7
2010-11,20104 (Autumn 2010),A S 431 A,AEROSPACE STDYS 400,"GUSTAFSON, JEFFREY H.",25,4,5,7,3,4,1,,,,,,,1,3.2
2010-11,20104 (Autumn 2010),A S 431 B,AEROSPACE STDYS 400,"GUSTAFSON, JEFFREY H.",14,2,6,1,2,2,,,1,,,,,,3.2
2010-11,20104 (Autumn 2010),AAS 101 A,ASIAN-AM CULTURE,"JUNG, MOON-HO",97,,14,30,28,16,4,1,,,,,2,2,3.0
2010-11,20104 (Autumn 2010),AAS 330 A,ASIAN AMER THEATER,"SUMIDA, STEPHEN H.",40,6,23,7,2,1,,,,,,,1,,3.4
2010-11,20104 (Autumn 2010),AAS 360 A,FIL-AM HIST & CLTR,"BONUS, ENRIQUE C.",44,10,13,6,4,5,1,1,2,,,,,2,3.3
2010-11,20104 (Autumn 2010),AAS 370 A,JPN-AM HIST CLTR,"KASHIMA, TETSUDEN",35,4,9,3,6,7,4,2,,,,,,,3.0
2010-11,20104 (Autumn 2010),AAS 385 A,AAS LAW AND IMMIGRA,"NOMURA, GAIL M.",40,3,19,12,6,,,,,,,,,,3.4
2010-11,20104 (Autumn 2010),AAS 395 A,SE-ASIAN AM HST/CLT,"SO, CONNIE C.",27,4,9,3,5,2,,2,,,,,,2,3.3
2010-11,20104 (Autumn 2010),ACADEM 197 A,RESEARCH SEMINARS,"MOODY, WILLIAM J",36,7,18,9,2,,,,,,,,,,3.6
2010-11,20104 (Autumn 2010),ACCTG 215 A,ACCTG & FIN REPRTNG,"HODGE, FRANK",195,25,36,21,27,22,9,12,23,,11,,3,6,2.8
2010-11,20104 (Autumn 2010),ACCTG 215 B,ACCTG & FIN REPRTNG,"HODGE, FRANK",194,33,33,24,30,23,12,11,12,,7,3,1,5,2.9
2010-11,20104 (Autumn 2010),ACCTG 215 C,ACCTG & FIN REPRTNG,"WELLS, WILLIAM",179,14,42,25,35,22,15,7,6,,,,1,12,3.0
2010-11,20104 (Autumn 2010),ACCTG 225 A,MANAGERIAL ACCTG,"ADAMS, HELEN D.",178,5,51,15,29,45,7,12,2,2,2,1,2,5,2.9
2010-11,20104 (Autumn 2010),ACCTG 301 A,INTERMED ACCTG I,"MATSUMOTO, DAWN A.",57,3,11,12,11,11,6,,,1,,,,2,3.0
2010-11,20104 (Autumn 2010),ACCTG 301 B,INTERMED ACCTG I,"MATSUMOTO, DAWN A.",59,,15,22,10,6,3,1,2,,,,,,3.1
2010-11,20104 (Autumn 2010),ACCTG 301 C,INTERMED ACCTG I,"SHEVLIN, TERRY J",53,4,13,12,15,4,2,2,1,,,,,,3.1
2010-11,20104 (Autumn 2010),ACCTG 302 A,INTERMED ACCTG II,"BAESLER, WENDY G.",45,4,13,5,10,10,,2,,,,,,1,3.1
2010-11,20104 (Autumn 2010),ACCTG 303 A,INTERMED ACCTG III,"THORNOCK, JAKE",44,2,14,13,6,5,2,1,,,,,,1,3.2
2010-11,20104 (Autumn 2010),ACCTG 303 B,INTERMED ACCTG III,"REICH, JANE M",54,2,15,7,10,10,5,4,,,,,,1,3.0
2010-11,20104 (Autumn 2010),ACCTG 311 A,COST ACCOUNTING,"ADAMS, HELEN D.",54,2,11,35,4,1,,,,,,,,1,3.3
2010-11,20104 (Autumn 2010),ACCTG 320 A,ACCTG INFO SYSTEMS,"GILLICK, JAMES",50,8,19,9,6,4,2,2,,,,,,,3.3
2010-11,20104 (Autumn 2010),ACCTG 320 B,ACCTG INFO SYSTEMS,"DU CHARME, LARRY",15,1,4,6,2,2,,,,,,,,,3.3
2010-11,20104 (Autumn 2010),ACCTG 321 A,TAX EFF OF BUS DECS,"RESLER, WILLIAM",56,4,27,13,4,4,3,,,,,,,1,3.4
2010-11,20104 (Autumn 2010),ACCTG 321 B,TAX EFF OF BUS DECS,"MEDLAR, DEBORAH",34,4,11,7,9,1,,,,,,,1,1,3.2
2010-11,20104 (Autumn 2010),ACCTG 411 A,AUDIT STANDRDS PRIN,"GILLICK, JAMES",36,2,15,10,7,2,,,,,,,,,3.3
2010-11,20104 (Autumn 2010),ACCTG 440 A,ACC & FIN MGT DEC,"WIDDISON, ELIZABETH J.",28,3,8,10,4,3,,,,,,,,,3.3
2010-11,20104 (Autumn 2010),ACCTG 485 A,ADV FIN ACCTG,"REICH, JANE M",39,4,10,7,3,7,3,3,,,,,1,1,3.0
2010-11,20104 (Autumn 2010),ACCTG 500 C,FINANCIAL ACCTG,"SOLIMAN, MARK T",56,4,28,17,7,,,,,,,,,,3.4
2010-11,20104 (Autumn 2010),ACCTG 500 D,FINANCIAL ACCTG,"SOLIMAN, MARK T",55,3,33,16,3,,,,,,,,,,3.4
2010-11,20104 (Autumn 2010),ACCTG 506 A,INTEN ACCT PRIN 1,"BURGSTAHLER, DAVID C",59,2,26,15,12,2,,,,,,,,2,3.3
2010-11,20104 (Autumn 2010),ACCTG 510 B,INTR FIN STMT ANLYS,"PAPERMAN, JOSEPH",14,2,5,6,,1,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),ACCTG 510 C,INTR FIN STMT ANLYS,"PAPERMAN, JOSEPH",13,3,3,3,3,1,,,,,,,,,3.4
2010-11,20104 (Autumn 2010),ACCTG 521 A,CASES INFO QUALITY,"GILLICK, JAMES",47,17,30,,,,,,,,,,,,3.7
2010-11,20104 (Autumn 2010),ACCTG 523 A,ADV FIN ANALYSIS,"PAPERMAN, JOSEPH",47,2,16,19,9,1,,,,,,,,,3.3
2010-11,20104 (Autumn 2010),ACCTG 527 A,CMU IN PROF ACCTG,"WIDDISON, ELIZABETH J.",23,3,10,10,,,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),ACCTG 527 B,CMU IN PROF ACCTG,"WIDDISON, ELIZABETH J.",24,3,13,8,,,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),ACCTG 530 A,TAX ISSUES-PROPERTY,"RESLER, WILLIAM",45,6,29,7,1,,,,,,,,,2,3.6
2010-11,20104 (Autumn 2010),ACCTG 533 A,TAX PROCEDURE,"ERICKSON, TRENT A",45,2,21,18,2,,,,,,,,,2,3.4
2010-11,20104 (Autumn 2010),ACCTG 534 A,CORPORATE TAXATION,"RESLER, WILLIAM",45,6,21,15,1,,,,,,,,,2,3.5
2010-11,20104 (Autumn 2010),ACCTG 539 A,TAX RESEARCH,"EWALD, JULIE",19,,13,5,,,,,,,,,,1,3.5
2010-11,20104 (Autumn 2010),ACCTG 539 B,TAX RESEARCH,"EWALD, JULIE",26,1,22,2,,,,,,,,,,1,3.5
2010-11,20104 (Autumn 2010),ACCTG 579 A,SPEC TOPICS ACCTNG,"KELLER, KELLY A",47,5,27,10,5,,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),AES 150 A,AMER ETHNIC HISTORY,"SO, CONNIE C.",75,12,27,14,14,2,3,2,1,,,,,,3.3
2010-11,20104 (Autumn 2010),AES 150 B,AMER ETHNIC HISTORY,"SO, CONNIE C.",24,7,11,4,2,,,,,,,,,,3.6
2010-11,20104 (Autumn 2010),AFRAM 101 A,INTRO AF-AM STUDIES,"STEPTOE, TYINA",92,16,24,15,11,10,3,1,2,1,1,,4,4,3.1
2010-11,20104 (Autumn 2010),AFRAM 246 A,AFRAM POLITICS,"PARKER, CHRISTOPHER S",26,4,6,2,8,5,,,,,,,,1,3.2
2010-11,20104 (Autumn 2010),AFRAM 340 A,HARLEM RENAISSANCE,"RETMAN, SONNET H.",43,5,16,7,9,1,2,1,1,,,,,1,3.3
2010-11,20104 (Autumn 2010),AFRAM 358 A,LIT OF BLK AMERICA,"IBRAHIM, HABIBA",18,3,9,1,,,,,,,,,1,4,3.4
2010-11,20104 (Autumn 2010),AIS 102 A,SURV AM INDN STDYS,"COLONNESE, TOM G",96,67,17,6,4,,,,,,,,1,1,3.7
2010-11,20104 (Autumn 2010),AIS 102 B,SURV AM INDN STDYS,"COLONNESE, TOM G",20,17,2,,1,,,,,,,,,,3.9
2010-11,20104 (Autumn 2010),AIS 230 A,"IND. GAMING, CASINOS","WRIGHT, MARY C.",38,3,22,8,2,,1,,1,,,,1,,3.3
2010-11,20104 (Autumn 2010),AIS 253 A,WOOD DESIGN,"OLIVER, MARVIN E",17,9,4,4,,,,,,,,,,,3.7
2010-11,20104 (Autumn 2010),AIS 271 A,MNT WEST NATIVES,"WRIGHT, MARY C.",31,3,15,8,2,,,1,,,,,1,1,3.4
2010-11,20104 (Autumn 2010),AIS 335 A,AMER IND & THE LAW,"HARMON, ALEXANDRA J",36,,6,11,7,5,2,,2,,,,,3,3.0
2010-11,20104 (Autumn 2010),AIS 350 A,NWC IND ART/2 DIM,"OLIVER, MARVIN E",20,10,8,2,,,,,,,,,,,3.8
2010-11,20104 (Autumn 2010),AIS 443 A,INDGN FILM/SVRN VIS,"HART, DANIEL",25,20,4,,,,,,,,,1,,,3.8
2010-11,20104 (Autumn 2010),AIS 451 A,CRITICAL AIS ISSUES,"MILLION, DIAN",14,4,8,,,,,,,,,,1,1,3.4
2010-11,20104 (Autumn 2010),AIS 503 A,DOC FORM THEORY,"HART, DANIEL",13,10,3,,,,,,,,,,,,3.9
2010-11,20104 (Autumn 2010),AMATH 301 A,BEG SCI COMPUTING,"SHLIZERMAN, ELI",103,7,47,17,7,6,,4,1,1,,2,,11,3.3
2010-11,20104 (Autumn 2010),AMATH 301 B,BEG SCI COMPUTING,"SHLIZERMAN, ELI",114,5,51,21,10,7,4,1,3,,3,,2,7,3.2
2010-11,20104 (Autumn 2010),AMATH 301 C,BEG SCI COMPUTING,"SHLIZERMAN, ELI",120,10,50,24,12,12,5,,,1,,,,6,3.3
2010-11,20104 (Autumn 2010),AMATH 351 A,DIFF EQUATIONS,"JONES, CHRISTOPHER R.",38,7,8,5,4,3,2,3,1,,,,1,4,3.1
2010-11,20104 (Autumn 2010),AMATH 352 A,LINR ALG & NUM ANLY,"HETMANIUK, ULRICH L.",70,10,19,15,6,7,1,4,,2,,,1,5,3.1
2010-11,20104 (Autumn 2010),AMATH 383 A,INTRODUCT MODELING,"TUNG, KA-KIT",55,12,18,11,4,1,1,2,,,,,3,3,3.2
2010-11,20104 (Autumn 2010),AMATH 401 A,VEC CAL COMPLEX VAR,"KOT, MARK",39,,4,7,6,4,6,4,1,,1,,2,4,2.5
2010-11,20104 (Autumn 2010),AMATH 401 C,VEC CAL COMPLEX VAR,"KOT, MARK",23,1,1,2,2,6,3,3,1,1,1,1,,1,2.4
2010-11,20104 (Autumn 2010),AMATH 501 B,VEC CAL COMPLEX VAR,"KOT, MARK",43,6,16,9,2,1,,1,,,,,3,5,3.2
2010-11,20104 (Autumn 2010),AMATH 501 C,VEC CAL COMPLEX VAR,"KOT, MARK",15,1,10,2,,1,1,,,,,,,,3.4
2010-11,20104 (Autumn 2010),AMATH 501 D,VEC CAL COMPLEX VAR,"KOT, MARK",22,7,7,1,4,2,,,,,,,,1,3.5
2010-11,20104 (Autumn 2010),AMATH 531 A,THEORY CELL DYNAM,"QIAN, HONG",15,9,5,1,,,,,,,,,,,3.8
2010-11,20104 (Autumn 2010),AMATH 567 A,APPLIED ANALYSIS,"GREENBAUM, ANNE",19,5,4,4,5,,,,,,,,,1,3.5
2010-11,20104 (Autumn 2010),AMATH 581 A,SCIENTIFIC COMPUTING,"HETMANIUK, ULRICH L.",51,15,17,2,,,,,,,,,1,16,3.6
2010-11,20104 (Autumn 2010),AMATH 581 C,SCIENTIFIC COMPUTING,"HETMANIUK, ULRICH L.",19,6,9,,,,1,,,,,,,3,3.6
2010-11,20104 (Autumn 2010),AMATH 584 A,APPL LINEAR ALGEBRA,"ADAMS, LOYCE M.",43,11,24,7,,,,,,,,,,1,3.7
2010-11,20104 (Autumn 2010),AMATH 584 B,APPL LINEAR ALGEBRA,"ADAMS, LOYCE M.",25,5,10,2,3,1,,,,,,,,4,3.5
2010-11,20104 (Autumn 2010),ANTH 101 A,EXPLORING SOC ANTHR,"BARKER, HOLLY M.",67,23,32,4,3,2,2,,,,,,1,,3.6
2010-11,20104 (Autumn 2010),ANTH 101 B,EXPLORING SOC ANTHR,"BARKER, HOLLY M.",93,32,40,11,4,3,,1,1,,,,,1,3.6
2010-11,20104 (Autumn 2010),ANTH 210 A,INTRO ENVIRON ANTH,"PENA, DEVON G",151,63,61,13,4,5,,2,,,,,,3,3.6
2010-11,20104 (Autumn 2010),ANTH 215 A,MED ANTH/ GLBL HLTH,"CHAPMAN, RACHEL R",155,80,48,12,12,1,,2,,,,,,,3.7
2010-11,20104 (Autumn 2010),ANTH 269 A,SPECIAL TOPICS,"LOWE, CELIA",54,1,30,14,2,,,,2,,,,,5,3.4
2010-11,20104 (Autumn 2010),ANTH 305 A,ANTHROP OF THE BODY,"ANAGNOST, ANN S.",42,12,19,11,,,,,,,,,,,3.6
2010-11,20104 (Autumn 2010),ANTH 313 A,PEOPLES OF AFRICA,"HOFFMAN, DANIEL J.",39,13,20,4,1,,,,,,,,,1,3.7
2010-11,20104 (Autumn 2010),ANTH 359 A,LING ETHNO,"MARKOVA, MARIANA IVANOVA",24,6,13,3,,,,,,,,,,2,3.7
2010-11,20104 (Autumn 2010),ANTH 360 A,POPULAR CULTURE ANTH,"BILANIUK, LAADA M.",42,17,14,5,2,1,,,1,,,,1,1,3.5
2010-11,20104 (Autumn 2010),ANTH 469 B,SPEC STUDIES ANTH,"RHODES, LORNA A",38,5,19,9,3,,1,,,,,,,1,3.5
2010-11,20104 (Autumn 2010),ANTH 469 C,SPEC STUDIES ANTH,"BARKER, HOLLY M.",40,21,13,2,3,1,,,,,,,,,3.7
2010-11,20104 (Autumn 2010),ANTH 475 A,PERSPECTS MED ANTH,"CERON, ALEJANDRO",30,16,8,2,3,,,,,,,,,1,3.7
2010-11,20104 (Autumn 2010),ANTH 488 A,AGROECOLOGY,"PENA, DEVON G",17,9,3,,,2,,,,,,,2,1,3.2
2010-11,20104 (Autumn 2010),ARAB 411 A,ELEMENTARY ARABIC,"BENSON, SUSAN E.",25,4,13,1,2,,1,,1,,,,2,1,3.2
2010-11,20104 (Autumn 2010),ARAB 411 B,ELEMENTARY ARABIC,"BENSON, SUSAN E.",23,5,6,4,,,1,2,,,,,3,2,2.9
2010-11,20104 (Autumn 2010),ARAB 411 C,ELEMENTARY ARABIC,"MAHMOUD, RANIA M",24,7,1,7,2,4,1,,,,,,2,,3.1
2010-11,20104 (Autumn 2010),ARAB 421 A,INTERMEDIATE ARABIC,"AIT HAMD, ADIL",21,5,5,1,3,4,1,,,,,,1,1,3.1
2010-11,20104 (Autumn 2010),ARCH 150 A,APPREC OF ARCH I,"HUPPERT, ANN C",613,250,143,78,30,34,15,16,5,2,4,,2,34,3.5
2010-11,20104 (Autumn 2010),ARCH 150 B,APPREC OF ARCH I,"HUPPERT, ANN C",22,5,9,5,1,1,1,,,,,,,,3.5
2010-11,20104 (Autumn 2010),ARCH 310 A,ARCH DES DRWG I,"CHING, FRANCIS D K",21,,4,17,,,,,,,,,,,3.4
2010-11,20104 (Autumn 2010),ARCH 315 A,DESIGN DRAWING III,"ZUBERBUHLER, DOUGLAS R",48,1,12,10,19,5,1,,,,,,,,3.1
2010-11,20104 (Autumn 2010),ARCH 320 C,INTRO STRUCTURES I,"ONOUYE, BARRY S",40,2,19,15,3,,,,,,,,,1,3.4
2010-11,20104 (Autumn 2010),ARCH 320 D,INTRO STRUCTURES I,"LEBERT, ED",44,5,13,9,9,3,2,1,,1,,,1,,3.1
2010-11,20104 (Autumn 2010),ARCH 332 A,CONST MAT & ASSM I,KIMO GRIGGS,21,3,11,7,,,,,,,,,,,3.6
2010-11,20104 (Autumn 2010),ARCH 350 A,ARCH ANCIENT WORLD,"IAROCCI, LOUISA M",186,4,45,52,34,25,12,5,1,,,1,1,6,3.0
2010-11,20104 (Autumn 2010),ARCH 350 B,ARCH ANCIENT WORLD,"MURDOCK, JEFFREY S.",19,8,7,4,,,,,,,,,,,3.7
2010-11,20104 (Autumn 2010),ARCH 350 D,ARCH ANCIENT WORLD,"GILGE, CHERYL R",19,9,7,2,,,,,,,,,,1,3.7
2010-11,20104 (Autumn 2010),ARCH 380 A,COMPUTERS IN ARCH,"INANICI, MEHLIKA",15,3,10,2,,,,,,,,,,,3.7
2010-11,20104 (Autumn 2010),ARCH 400 A,ARCH DESIGN IV,"HUBER, NICOLE",48,4,21,20,3,,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),ARCH 410 A,INTRO ARCH PHOTO,"STAMETS, JOHN",18,,14,2,1,1,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),ARCH 457 A,20TH C ARCHITECTURE,"CLAUSEN, MEREDITH L",17,3,5,4,2,,,1,,,,,,2,3.4
2010-11,20104 (Autumn 2010),ARCH 460 A,DESGN THRY & ANALYS,"IAROCCI, LOUISA M",18,,8,9,1,,,,,,,,,,3.4
2010-11,20104 (Autumn 2010),ARCH 481 A,3D MODEL & RENDER,"JOHNSON, BRIAN R",21,11,7,1,,2,,,,,,,,,3.7
2010-11,20104 (Autumn 2010),ARCH 498 K,SPECIAL PROJECTS,KIMO GRIGGS,19,4,9,5,1,,,,,,,,,,3.6
2010-11,20104 (Autumn 2010),ARCH 498 Q,SPECIAL PROJECTS,"MERLINO, KATHRYN ROGERS",17,,14,2,,,,,1,,,,,,3.4
2010-11,20104 (Autumn 2010),ARCH 521 A,STRUCT SYS DESIGN,"SIMONEN, KATE",33,5,24,2,2,,,,,,,,,,3.6
2010-11,20104 (Autumn 2010),ARCH 532 A,CONST MAT & ASSM II,"NICHOLLS, JIM",45,4,27,14,,,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),ARCH 574 B,DESIGN & CONST LAW,"NYROP, KARIN",14,,3,7,4,,,,,,,,,,3.2
2010-11,20104 (Autumn 2010),ARCH 590 A,URB & PRESV ISSUES,"OCHSNER, JEFFREY K",42,,18,21,3,,,,,,,,,,3.4
2010-11,20104 (Autumn 2010),ARCHY 101 A,EXPLORING ARCHY,"JOHNSON, JACK A",221,35,76,37,19,13,13,8,8,1,1,1,6,3,3.1
2010-11,20104 (Autumn 2010),ARCHY 205 A,PRINCIPLES OF ARCHY,"NAUMANN, AARON J",123,37,42,20,8,5,,4,3,,,1,,3,3.4
2010-11,20104 (Autumn 2010),ARCHY 478 A,PREHIST ARID WEST,"GRAYSON, DONALD K",19,2,6,6,3,,,1,,,,,,1,3.3
2010-11,20104 (Autumn 2010),ART 120 A,ISSUES CONTEMP ART,"TIHANYI, TIMEA",137,9,68,31,10,7,,4,,,,,4,4,3.3
2010-11,20104 (Autumn 2010),ART 126 A,TOPICS STUDIO ART,"GOLDSMITH, LAYNE",19,4,9,5,,1,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),ART 126 B,TOPICS STUDIO ART,"SCHEIER, S.",20,16,3,1,,,,,,,,,,,3.9
2010-11,20104 (Autumn 2010),ART 140 D,BASIC PHOTO,"CUMMINS, REBECCA",21,,13,7,1,,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),ART 140 F,BASIC PHOTO,"BURNS, ERIN E",20,1,17,2,,,,,,,,,,,3.6
2010-11,20104 (Autumn 2010),ART 190 A,INTRO TO DRAWING,"GALE, ANN E.",22,2,12,6,,1,,,,,,,1,,3.3
2010-11,20104 (Autumn 2010),ART 190 B,INTRO TO DRAWING,"O'TOOLE, HELEN J.",22,3,12,5,1,1,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),ART 190 C,INTRO TO DRAWING,"LIN, ZHI",21,3,11,4,,,,,,,,,,3,3.6
2010-11,20104 (Autumn 2010),ART 190 D,INTRO TO DRAWING,"MCELROY, SEAN C.",22,2,17,2,,,1,,,,,,,,3.6
2010-11,20104 (Autumn 2010),ART 201 A,CERAMIC HANDBUILDNG,"MARTINEZ, GUSTAVO",20,5,15,,,,,,,,,,,,3.7
2010-11,20104 (Autumn 2010),ART 201 B,CERAMIC HANDBUILDNG,"WALKER, JAMIE S",20,,8,7,3,1,1,,,,,,,,3.3
2010-11,20104 (Autumn 2010),ART 202 A,CERAM WHEEL THROWING,"TAKAMORI, AKIO",19,3,15,1,,,,,,,,,,,3.7
2010-11,20104 (Autumn 2010),ART 207 A,DESIGN DRAWING,"AHN, SANGGYEUN",57,3,10,22,18,3,,,,,,,,1,3.2
2010-11,20104 (Autumn 2010),ART 210 A,COLOR & COMPOSITION,"DE LOS REYES, AUGUST",57,2,19,16,12,7,,,,,,,,1,3.2
2010-11,20104 (Autumn 2010),ART 227 A,INTRO TO SURFACE,"CABEEN, LOUISE C",17,3,8,3,1,,,,,,,,,2,3.6
2010-11,20104 (Autumn 2010),ART 233 A,INTRO TO GLASS,"MCELROY, CHRISTOPHER H.",13,,5,4,2,1,,1,,,,,,,3.2
2010-11,20104 (Autumn 2010),ART 241 B,INTERMEDIATE PHOTO,"GARVENS, ELLEN J",15,,13,2,,,,,,,,,,,3.6
2010-11,20104 (Autumn 2010),ART 246 A,WORKS ON PAPER,"LABITZKE, CURT W",15,5,10,,,,,,,,,,,,3.7
2010-11,20104 (Autumn 2010),ART 272 A,INTRO SCULPTURE I,"MCNEEL, AMIE L.",19,4,10,3,,1,,,,,,,1,,3.4
2010-11,20104 (Autumn 2010),ART 272 B,INTRO SCULPTURE I,"WALKER, JAMIE S",19,1,17,1,,,,,,,,,,,3.6
2010-11,20104 (Autumn 2010),ART 272 C,INTRO SCULPTURE I,"CLARK, KATE A.",20,1,11,4,,,,,1,,1,,1,1,3.1
2010-11,20104 (Autumn 2010),ART 273 A,INTRO SCULPTURE II,"MCNEEL, AMIE L.",19,,10,6,1,2,,,,,,,,,3.4
2010-11,20104 (Autumn 2010),ART 290 A,BEG DRAWING FIGURE,"LIN, ZHI",22,8,14,,,,,,,,,,,,3.7
2010-11,20104 (Autumn 2010),ART 292 B,BEGINNING PAINTING,"GALE, ANN E.",13,2,6,5,,,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),ART 316 A,INTRO INDUST DESIGN,"FEIL, MAGNUS",15,,9,4,,,2,,,,,,,,3.3
2010-11,20104 (Autumn 2010),ART 321 A,MATERIAL & MANUFACT,"MCCAIN, GEORGE L",18,3,13,1,1,,,,,,,,,,3.6
2010-11,20104 (Autumn 2010),ART 333 A,NEW MATERIALS GLASS,"ZIRPEL, MARK",13,1,3,4,4,,,,,,,1,,,3.1
2010-11,20104 (Autumn 2010),ART 338 A,PHOTO THEORY & CRIT,"BERGER, PAUL E",59,8,16,13,6,8,6,,,,,,1,1,3.2
2010-11,20104 (Autumn 2010),ART 343 A,ADV PHOTOMEDIA,"CUMMINS, REBECCA",18,5,9,4,,,,,,,,,,,3.6
2010-11,20104 (Autumn 2010),ART 350 A,PRINTMKG SPEC PROJ,"SCHEIER, S.",21,14,4,1,,,1,,,,,,,1,3.8
2010-11,20104 (Autumn 2010),ART 353 A,INTERM CERAMIC ART,"TAKAMORI, AKIO",21,2,14,5,,,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),ART 366 A,EDIT VISUALIZATIONS,"KLINGLER, CASSIE R.",23,5,5,8,3,2,,,,,,,,,3.4
2010-11,20104 (Autumn 2010),ART 376 A,TYPOGRAPHY,"GOULD, ANNABELLE",24,2,11,9,2,,,,,,,,,,3.4
2010-11,20104 (Autumn 2010),ART 381 A,CASE STUDIES IXD,"FEIL, MAGNUS",16,,16,,,,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),ART 383 A,FOUNDATIONS OF IXD,"ROESLER, AXEL",29,5,21,2,1,,,,,,,,,,3.6
2010-11,20104 (Autumn 2010),ART 390 A,INTERMED DRAWING,"BRODY, DAVID",21,2,5,9,5,,,,,,,,,,3.3
2010-11,20104 (Autumn 2010),ART 400 A,IVA SENIOR STUDIO,"CABEEN, LOUISE C",22,10,7,2,,2,,,,,,,,1,3.7
2010-11,20104 (Autumn 2010),ART 440 A,SENIOR PHOTOMEDIA,"BERGER, PAUL E",17,4,13,,,,,,,,,,,,3.7
